,exchange_is_open,is_trading_suspended,market,pip_size,subgroup,submarket,trade_count,underlying_symbol,underlying_symbol_type
0,1,0,synthetic_index,0.01,synthetics,random_index,102664,1HZ100V,stockindex
1,1,0,synthetic_index,0.01,synthetics,random_index,32772,1HZ10V,stockindex
2,1,0,synthetic_index,0.01,synthetics,random_index,10186,1HZ25V,stockindex
3,1,0,synthetic_index,0.01,synthetics,random_index,8207,1HZ50V,stockindex
4,1,0,synthetic_index,0.01,synthetics,random_index,21006,1HZ75V,stockindex
5,1,0,synthetic_index,0.001,synthetics,crash_index,300,BOOM1000,
6,1,0,synthetic_index,0.001,synthetics,crash_index,213,BOOM500,
7,1,0,synthetic_index,0.001,synthetics,crash_index,52,BOOM600,
8,1,0,synthetic_index,0.001,synthetics,crash_index,81,BOOM900,
9,1,0,synthetic_index,0.001,synthetics,crash_index,109,CRASH1000,
10,1,0,synthetic_index,0.001,synthetics,crash_index,173,CRASH500,
11,1,0,synthetic_index,0.001,synthetics,crash_index,49,CRASH600,
12,1,0,synthetic_index,0.001,synthetics,crash_index,87,CRASH900,
13,1,0,synthetic_index,0.01,synthetics,jump_index,2156,JD10,stockindex
14,1,0,synthetic_index,0.01,synthetics,jump_index,493,JD100,stockindex
15,1,0,synthetic_index,0.01,synthetics,jump_index,324,JD25,stockindex
16,1,0,synthetic_index,0.01,synthetics,jump_index,220,JD50,stockindex
17,1,0,synthetic_index,0.01,synthetics,jump_index,262,JD75,stockindex
18,1,0,indices,0.01,none,europe_OTC,2,OTC_AEX,stockindex
19,1,0,indices,0.01,none,asia_oceania_OTC,2,OTC_AS51,stockindex
20,1,0,indices,0.01,none,americas_OTC,6,OTC_DJI,stockindex
21,1,0,indices,0.01,none,europe_OTC,4,OTC_FCHI,stockindex
22,1,0,indices,0.01,none,europe_OTC,0,OTC_FTSE,stockindex
23,1,0,indices,0.01,none,europe_OTC,0,OTC_GDAXI,stockindex
24,0,0,indices,0.01,none,asia_oceania_OTC,0,OTC_HSI,stockindex
25,1,0,indices,0.01,none,asia_oceania_OTC,0,OTC_N225,stockindex
26,1,0,indices,0.01,none,americas_OTC,0,OTC_NDX,stockindex
27,1,0,indices,0.01,none,americas_OTC,14,OTC_SPC,stockindex
28,1,0,indices,0.01,none,europe_OTC,0,OTC_SSMI,stockindex
29,1,0,indices,0.01,none,europe_OTC,0,OTC_SX5E,stockindex
30,1,0,synthetic_index,0.0001,synthetics,random_daily,730,RDBEAR,stockindex
31,1,0,synthetic_index,0.0001,synthetics,random_daily,1463,RDBULL,stockindex
32,1,0,synthetic_index,0.001,synthetics,random_index,21512,R_10,stockindex
33,1,0,synthetic_index,0.01,synthetics,random_index,23958,R_100,stockindex
34,1,0,synthetic_index,0.001,synthetics,random_index,6805,R_25,stockindex
35,1,0,synthetic_index,0.0001,synthetics,random_index,15408,R_50,stockindex
36,1,0,synthetic_index,0.0001,synthetics,random_index,39129,R_75,stockindex
37,1,0,synthetic_index,0.001,baskets,forex_basket,11,WLDAUD,forex_basket
38,1,0,synthetic_index,0.001,baskets,forex_basket,5,WLDEUR,forex_basket
39,1,0,synthetic_index,0.001,baskets,forex_basket,6,WLDGBP,forex_basket
40,1,0,synthetic_index,0.001,baskets,forex_basket,39,WLDUSD,forex_basket
41,1,0,synthetic_index,0.001,baskets,commodity_basket,72,WLDXAU,commodity_basket
42,1,0,cryptocurrency,0.001,none,non_stable_coin,429,cryBTCUSD,cryptocurrency
43,1,0,cryptocurrency,1e-05,none,non_stable_coin,76,cryETHUSD,cryptocurrency
44,1,0,forex,1e-05,none,minor_pairs,15,frxAUDCAD,forex
45,1,0,forex,1e-05,none,minor_pairs,5,frxAUDCHF,forex
46,1,0,forex,0.001,none,major_pairs,55,frxAUDJPY,forex
47,1,0,forex,1e-05,none,minor_pairs,0,frxAUDNZD,forex
48,1,0,forex,1e-05,none,major_pairs,23,frxAUDUSD,forex
49,1,0,forex,1e-05,none,major_pairs,12,frxEURAUD,forex
50,1,0,forex,1e-05,none,major_pairs,30,frxEURCAD,forex
51,1,0,forex,1e-05,none,major_pairs,17,frxEURCHF,forex
52,1,0,forex,1e-05,none,major_pairs,10,frxEURGBP,forex
53,1,0,forex,0.001,none,major_pairs,11,frxEURJPY,forex
54,1,0,forex,1e-05,none,minor_pairs,1,frxEURNZD,forex
55,1,0,forex,1e-05,none,major_pairs,247,frxEURUSD,forex
56,1,0,forex,1e-05,none,major_pairs,11,frxGBPAUD,forex
57,1,0,forex,1e-05,none,minor_pairs,2,frxGBPCAD,forex
58,1,0,forex,1e-05,none,minor_pairs,2,frxGBPCHF,forex
59,1,0,forex,0.001,none,major_pairs,7,frxGBPJPY,forex
60,1,0,forex,1e-05,none,minor_pairs,0,frxGBPNZD,forex
61,1,0,forex,1e-05,none,major_pairs,27,frxGBPUSD,forex
62,1,0,forex,0.001,none,minor_pairs,2,frxNZDJPY,forex
63,1,0,forex,1e-05,none,minor_pairs,0,frxNZDUSD,forex
64,1,0,forex,1e-05,none,major_pairs,19,frxUSDCAD,forex
65,1,0,forex,1e-05,none,major_pairs,12,frxUSDCHF,forex
66,1,0,forex,0.001,none,major_pairs,26,frxUSDJPY,forex
67,1,0,forex,0.0001,none,minor_pairs,2,frxUSDMXN,forex
68,1,0,forex,0.0001,none,minor_pairs,0,frxUSDPLN,forex
69,1,0,commodities,0.0001,none,metals,47,frxXAGUSD,commodities
70,1,0,commodities,0.01,none,metals,937,frxXAUUSD,commodities
71,1,0,commodities,0.01,none,metals,1,frxXPDUSD,commodities
72,1,0,commodities,0.01,none,metals,0,frxXPTUSD,commodities
73,1,0,synthetic_index,0.1,synthetics,step_index,208,stpRNG,
74,1,0,synthetic_index,0.1,synthetics,step_index,200,stpRNG2,
75,1,0,synthetic_index,0.1,synthetics,step_index,276,stpRNG3,
76,1,0,synthetic_index,0.1,synthetics,step_index,101,stpRNG4,
77,1,0,synthetic_index,0.1,synthetics,step_index,200,stpRNG5,
